instance,algorithm,objective,time_sec,optimality_gap_%,opened_facilities_count,num_facilities,num_customers
cap122.txt,strong,851495.3250000001,0.10374492300002203,-,11,50,50
cap122.txt,weak,851495.3250000001,0.09428792100015926,-,11,50,50
cap122.txt,strong_rl,851495.3250000001,0.07167773199989824,0.0,-1,50,50
cap122.txt,weak_rl,636321.4500000001,0.06468594100010705,25.27,-1,50,50
cap122.txt,erlenkotter,848934.2000000001,0.005321080999920014,0.3,-1,50,50
cap122.txt,greedy,862753.375,0.0024063939999905415,1.32,12,50,50
cap124.txt,strong,928941.7500000001,0.08021627900006933,-,4,50,50
cap124.txt,weak,928941.7500000001,0.1147807439999724,-,4,50,50
cap124.txt,strong_rl,928941.7500000001,0.09279972700005601,0.0,-1,50,50
cap124.txt,weak_rl,648426.3,0.0699577190000582,30.2,-1,50,50
cap124.txt,erlenkotter,922586.625,0.008928633000095942,0.68,-1,50,50
cap124.txt,greedy,948299.9500000001,0.0011349849999078288,2.08,5,50,50
cap131.txt,strong,793439.5625000001,0.07583767900018756,-,15,50,50
cap131.txt,weak,793439.5625000001,0.0926248900000246,-,15,50,50
cap131.txt,strong_rl,793439.5625000001,0.06845511999995324,0.0,-1,50,50
cap131.txt,weak_rl,631421.4500000001,0.06713563300013448,20.42,-1,50,50
cap131.txt,erlenkotter,793439.5625,0.005421275000117021,0.0,-1,50,50
cap131.txt,greedy,799290.3500000001,0.0029259479999836913,0.74,15,50,50
cap132.txt,strong,851495.3250000001,0.08337195600006453,-,11,50,50
cap132.txt,weak,851495.3250000001,0.11215122599992355,-,11,50,50
cap132.txt,strong_rl,851495.3250000001,0.06530604699992182,0.0,-1,50,50
cap132.txt,weak_rl,636321.4500000001,0.08419625800001995,25.27,-1,50,50
cap132.txt,erlenkotter,848934.2000000001,0.005284882000069047,0.3,-1,50,50
cap132.txt,greedy,862753.375,0.0020356180000362656,1.32,12,50,50
cap134.txt,strong,928941.7500000001,0.08855165899990425,-,4,50,50
cap134.txt,weak,928941.7500000001,0.11516444699987005,-,4,50,50
cap134.txt,strong_rl,928941.7500000001,0.10149877799995011,0.0,-1,50,50
cap134.txt,weak_rl,648426.3,0.136411925999937,30.2,-1,50,50
cap134.txt,erlenkotter,922586.625,0.014564942000106385,0.68,-1,50,50
cap134.txt,greedy,948299.9500000001,0.002768392000007225,2.08,5,50,50
cap42.txt,strong,977799.4000000001,0.1099672410000494,-,9,16,50
cap42.txt,weak,977799.4000000001,0.14373851400000603,-,9,16,50
cap42.txt,strong_rl,977799.4000000001,0.05508469599999444,0.0,-1,16,50
cap42.txt,weak_rl,849169.0375000003,0.06174272699990979,13.16,-1,16,50
cap42.txt,erlenkotter,977799.4,0.0026443310000558995,0.0,-1,16,50
cap42.txt,greedy,981538.85,0.0008067609999216074,0.38,10,16,50
cap62.txt,strong,977799.4000000001,0.1354635899999721,-,9,16,50
cap62.txt,weak,977799.4000000001,0.07736422000016319,-,9,16,50
cap62.txt,strong_rl,977799.4000000001,0.16165677399999367,0.0,-1,16,50
cap62.txt,weak_rl,849169.0375000003,0.1551083629999539,13.16,-1,16,50
cap62.txt,erlenkotter,977799.4,0.002469809000103851,0.0,-1,16,50
cap62.txt,greedy,981538.85,0.000502233000133856,0.38,10,16,50
cap84.txt,strong,928941.7500000001,0.1864019519998692,-,4,25,50
cap84.txt,weak,928941.7500000001,0.2549119359998713,-,4,25,50
cap84.txt,strong_rl,928941.7500000001,0.1103673739999067,0.0,-1,25,50
cap84.txt,weak_rl,674734.5874999999,0.12681134700005714,27.37,-1,25,50
cap84.txt,erlenkotter,928941.75,0.007984083999872382,0.0,-1,25,50
cap84.txt,greedy,940141.5375000001,0.0010036819999186264,1.21,5,25,50
gen_f100_c150_s123.txt,strong,330897.0800000001,0.28050965299985364,-,9,100,150
gen_f100_c150_s123.txt,weak,330897.0800000001,3.0719873049999933,-,9,100,150
gen_f100_c150_s123.txt,strong_rl,330897.0800000001,0.18580945700000484,0.0,-1,100,150
gen_f100_c150_s123.txt,weak_rl,115691.18619999994,0.15651352800000495,65.04,-1,100,150
gen_f100_c150_s123.txt,erlenkotter,326224.63,0.033442300999922736,1.41,-1,100,150
gen_f100_c150_s123.txt,greedy,400147.86000000004,0.004184260000101858,20.93,9,100,150
